"vital_rate","population","value","sd"
"staySB","Retin",0.597826086956522,0.490603381663859
"outSB","Retin",0.0609452736318408,0.239378818340381
"goCont","Retin",0.106597222222222,0.145702953983999
"staySB","Prisoneros",0.597826086956522,0.490603381663859
"outSB","Prisoneros",0.0609452736318408,0.239378818340381
"goCont","Prisoneros",0.287710622710623,0.279031352047302
"staySB","Bujeo",0.597826086956522,0.490603381663859
"outSB","Bujeo",0.0609452736318408,0.239378818340381
"goCont","Bujeo",0.159666455339532,0.200503194557469
"staySB","MonteraTorero",0.597826086956522,0.490603381663859
"outSB","MonteraTorero",0.0609452736318408,0.239378818340381
"goCont","MonteraTorero",0.176266788766789,0.199099532826466
"staySB","SCarbDist",0.597826086956522,0.490603381663859
"outSB","SCarbDist",0.0609452736318408,0.239378818340381
"goCont","SCarbDist",0.159666455339532,0.200503194557469
